Stock_Name,Yahoo_Symbol
Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS
Torrent Power Ltd.,TORNTPOWER.NS
Transformers And Rectifiers (India) Ltd.,TARIL.NS
Travel Food Services Ltd.,TRAVELFOOD.NS
Trent Ltd.,TRENT.NS
Trident Ltd.,TRIDENT.NS
Triveni Turbine Ltd.,TRITURBINE.NS
Tube Investments of India Ltd.,TIINDIA.NS
UCO Bank,UCOBANK.NS
UNO Minda Ltd.,UNOMINDA.NS
UPL Ltd.,UPL.NS
UTI Asset Management Company Ltd.,UTIAMC.NS
UltraTech Cement Ltd.,ULTRACEMCO.NS
Union Bank of India,UNIONBANK.NS
United Breweries Ltd.,UBL.NS
United Spirits Ltd.,UNITDSPR.NS
Urban Company Ltd.,URBANCO.NS
Usha Martin Ltd.,USHAMART.NS
Vardhman Textiles Ltd.,VTL.NS
Varun Beverages Ltd.,VBL.NS
Vedanta Ltd.,VEDL.NS
Vijaya Diagnostic Centre Ltd.,VIJAYA.NS
Vishal Mega Mart Ltd.,VMM.NS
Vodafone Idea Ltd.,IDEA.NS
Voltas Ltd.,VOLTAS.NS
Waaree Energies Ltd.,WAAREEENER.NS
Welspun Corp Ltd.,WELCORP.NS
Welspun Living Ltd.,WELSPUNLIV.NS
Whirlpool of India Ltd.,WHIRLPOOL.NS
Wipro Ltd.,WIPRO.NS
Wockhardt Ltd.,WOCKPHARMA.NS
Yes Bank Ltd.,YESBANK.NS
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA.NS
Zee Entertainment Enterprises Ltd.,ZEEL.NS
Zen Technologies Ltd.,ZENTEC.NS
Zensar Technolgies Ltd.,ZENSARTECH.NS
Zydus Lifesciences Ltd.,ZYDUSLIFE.NS
Zydus Wellness Ltd.,ZYDUSWELL.NS
eClerx Services Ltd.,ECLERX.NS
